year,geog,fips,statecd,theme_id,indic_id,Pct_MedianOwnerCosts_Income,MOE_MedianOwnerCosts_Income,Num_Homeless,Num_RentBelow50Pct_Inc,Num_RentBelow60Pct_Inc,Median_GrossRent,MOE_GrossRent,Denom_Students,Num_Free_Lunch_Elig,Num_RedPrice_Lunch_Elig,Num_FRP_Lunch_Elig,Pct_FRP_Lunch_Elig,pct_3plus_adults_encourage,pct_adults_w_healthcare,num_schip_partic,pct_deferred_care,num_prenatal_1st_tri,den_prenatal_1st_tri,pct_prenatal_1st_tri,num_hiv_diag,rate_hiv_diag,num_adult_good_health,pct_adult_good_health,num_adult_vgood_health,pct_adult_vgood_health,num_adult_exc_health,pct_adult_exc_health,num_adult_goodexc_health,pct_adult_goodexc_health,num_flushot,pct_flushot,num_fluspray,pct_fluspray,num_bmi_under,pct_bmi_under,num_bmi_healthy,pct_bmi_healthy,num_bmi_over,pct_bmi_over,num_bmi_obese,pct_bmi_obese,denom_bmi,num_bmi_over_obese,pct_bmi_over_obese,Rate_HeartDis_Mortality,year_range_start,year_range_end,Rate_Cancer_Mortality,Rate_Infant_Mortality,num_teenpreg,denom_teenpreg,rate_teenpreg_1000,pct_walked_work,moe_walked_work,pct_biked_work,moe_biked_work,pct_tree_canopy,num_miles_sharedusepaths,pct_publictransit_work,moe_publictransit_work,rate_child_abuse_cases,num_homicide,num_rape,num_robbery,num_agg_assault,num_burglary,num_larceny,num_autotheft,num_violent_crime,num_property_crime,num_violent_property_crime,num_vandalism,num_prostitution,num_drug_offenses,num_gambling,num_disorderly_conduct,num_dui,num_drunkenness,num_liquorlaw,num_total_nuisance_crimes,avg_response_time_fires,pct_suicidal_grade7,pct_suicidal_grade8,pct_suicidal_grade9,pct_suicidal_grade10,pct_suicidal_grade11,pct_suicidal_grade12,pct_suicidal_grades7_12,avg_days_mental_unhealthy,pct_adult_smokers,pct_youth_never_smoked_gr7,pct_youth_never_smoked_gr8,pct_youth_never_smoked_gr9,pct_youth_never_smoked_gr10,pct_youth_never_smoked_gr11,pct_youth_never_smoked_gr12,pct_youth_never_smoked_gr7_12,pct_used_alcohol_gr7,pct_used_alcohol_gr8,pct_used_alcohol_gr9,pct_used_alcohol_gr10,pct_used_alcohol_gr11,pct_used_alcohol_gr12,pct_used_alcohol_gr7_12,num_eat_5plus_fruitsveg,pct_eat_5plus_fruitsveg,num_wic_partic,num_inspections,num_health_violations,num_ozone_days,num_so2_days,num_airqualityaction_days,num_health_complaints,pct_solidwaste_recycled,median_hh_income,moe_median_hh_income,pct_pop_workforce,moe_pop_workforce,pct_poverty,moe_poverty,pct_nclb_disad_grad,pct_nclb_lep_grad,pct_nclb_hisp_grad,pct_nclb_white_grad,pct_nclb_black_grad,pct_nclb_swd_grad,pct_nclb_all_grad,pct_fed_disad_grad,pct_fed_lep_grad,pct_fed_hisp_grad,vpct_fed_white_grad,pct_fed_black_grad,pct_fed_swd_grad,pct_fed_all_grad,num_laborforce,num_employed,num_unemployed,rate_unemployment,pct_hsdiploma_ged,moe_hsdiploma_ged,pct_retail_vacancy_low145,pct_retail_vacancy_mid156,pct_retail_vacancy_up39,pct_retail_vacancy_total,denom_prenatal_1st_tri
2001,Alexandria,51510,51,2,203,,,,3984,14341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Alexandria,51510,51,2,203,,,416,4543,6416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alexandria,51510,51,2,204,0.19,,,10374,18218,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Alexandria,51510,51,2,207,,,,3317,13791,,,10975,4441,1200,5641,51.39863326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Alexandria,51510,51,2,207,,,,3041,12219,,,10765,4345,1165,5510,51.18439387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Alexandria,51510,51,2,207,,,,2172,11984,,,10610,4394,1148,5542,52.23374175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alexandria,51510,51,2,207,0.215,0.014,,1135,10127,1111,34,10317,4043,1194,5237,50.7608801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Alexandria,51510,51,2,207,0.23,0.013,,973,9841,1213,46,10026,3806,1180,4986,49.73070018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Alexandria,51510,51,2,207,0.232,0.013,375,883,7889,1233,46,10295,4040,1247,5287,51.35502671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Alexandria,51510,51,2,207,0.229,0.016,348,2313,8123,1299,49,11010,4483,1389,5872,53.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Alexandria,51510,51,2,207,0.216,0.014,360,1895,9598,1345,45,11501,4949,1316,6265,54.47352404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Alexandria,51510,51,2,207,0.208,0.011,359,2929,12167,1373,39,12227,5274,1232,6506,53.21010878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Alexandria,51510,51,3,301,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Alexandria,51510,51,3,301,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Alexandria,51510,51,4,402,,,,,,,,,,,,,,,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Alexandria,51510,51,4,410,,,,,,,,,,,,,,0.827,2282,21.33550289,,,,43,30.7,14164,0.173287495,24838,0.303877069,37665,0.460807223,76667,0.938,42367,0.527819305,4302,0.054,3411,0.042806586,26907,0.337671302,42474,0.53303047,6892,0.086491642,79684,49366,0.619522112,142.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Alexandria,51510,51,4,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,2003,179.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alexandria,51510,51,4,413,,,,,,,,,,,,,,0.948,,11.4398406,1711,,70.35,,,30521,0.249238508,53427,0.436291923,31711,0.258956205,115659,0.9445,57805,0.480614934,,,2498,0.027853973,37584,0.419080752,35932,0.40066011,13668,0.152405165,89682,49600,0.553065275,,2000,2004,173.8,4.9,260,4606,56.44811116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2432
2001,Alexandria,51510,51,4,413,,,,,,,,,,,,,,0.867,,,1629,,67.2,,,39004,0.332770241,23394,0.199590479,42874,0.365787902,105272,0.8981,14553,0.397015495,,,,,62091,0.551748345,31075,0.276136313,19369,0.172115342,112535,50444,0.448251655,,2001,2005,161.6,5.8,283,4606,61.44159792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424
2002,Alexandria,51510,51,4,413,,,,,,,,,,,,,,0.905,,,1522,,68.93,,,34987,0.260254102,33178,0.246797685,57707,0.429258967,125872,0.9363,62978,0.470090319,,,1992,0.015743675,69896,0.552419642,36733,0.290317482,17906,0.141519201,126527,54639,0.431836683,146.3,2002,2006,148.6,3.6,235,4231,55.54242496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208
2003,Alexandria,51510,51,4,413,,,,,,,,,,,,,,0.961,,11.09665052,1595,,68.37,,,22980,0.202075273,32468,0.285508266,49940,0.439148786,105388,0.9267,44946,0.395237383,,,,,51546,0.468655387,37147,0.337739915,21294,0.193604699,109987,58441,0.531344613,145.8,2003,2007,137.6,7.3,249,3935,63.27827192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2333
