year,geog,fips,statecd,theme_id,indic_id,pct_hsdiploma_ged,moe_hsdiploma_ged
2006,Alexandria,51510,51,11,1106,0.921,0.017
2007,Alexandria,51510,51,11,1106,0.917,0.018
2008,Alexandria,51510,51,11,1106,0.895,0.027
2009,Alexandria,51510,51,11,1106,0.913,0.021
2010,Alexandria,51510,51,11,1106,0.896,0.022
2006,Arlington,51013,51,11,1106,0.923,0.016
2007,Arlington,51013,51,11,1106,0.9,0.017
2008,Arlington,51013,51,11,1106,0.907,0.014
2009,Arlington,51013,51,11,1106,0.934,0.013
2010,Arlington,51013,51,11,1106,0.92,0.014
2006,Virginia,,51,11,1106,0.854,0.003
2007,Virginia,,51,11,1106,0.859,0.003
2008,Virginia,,51,11,1106,0.859,0.003
2009,Virginia,,51,11,1106,0.866,0.003
2010,Virginia,,51,11,1106,0.865,0.003
