year,geog,fips,statecd,theme_id,indic_id,Pct_MedianOwnerCosts_Income,MOE_MedianOwnerCosts_Income
2000,Alexandria,51510,51,2,201,0.19,
2005,Alexandria,51510,51,2,201,0.215,0.014
2006,Alexandria,51510,51,2,201,0.23,0.013
2007,Alexandria,51510,51,2,201,0.232,0.013
2008,Alexandria,51510,51,2,201,0.229,0.016
2009,Alexandria,51510,51,2,201,0.216,0.014
2010,Alexandria,51510,51,2,201,0.208,0.011
2000,Arlington,51013,51,2,201,0.176,
2005,Arlington,51013,51,2,201,0.22,0.014
2006,Arlington,51013,51,2,201,0.212,0.011
2007,Arlington,51013,51,2,201,0.214,0.011
2008,Arlington,51013,51,2,201,0.22,0.012
2009,Arlington,51013,51,2,201,0.22,0.011
2010,Arlington,51013,51,2,201,0.216,0.01
2000,Fairfax,51059,51,2,201,0.192,
2005,Fairfax,51059,51,2,201,0.219,0.005
2006,Fairfax,51059,51,2,201,0.223,0.005
2007,Fairfax,51059,51,2,201,0.225,0.005
2008,Fairfax,51059,51,2,201,0.22,0.005
2009,Fairfax,51059,51,2,201,0.217,0.004
2010,Fairfax,51059,51,2,201,0.21,0.005
2000,Virginia,,51,2,201,0.189,
2005,Virginia,,51,2,201,0.205,0.002
2006,Virginia,,51,2,201,0.211,0.002
2007,Virginia,,51,2,201,0.215,0.002
2008,Virginia,,51,2,201,0.215,0.002
2009,Virginia,,51,2,201,0.217,0.002
2010,Virginia,,51,2,201,0.213,0.002
2000,US,,,2,201,0.187,
2005,US,,,2,201,0.209,0.002
2006,US,,,2,201,0.216,0.002
2007,US,,,2,201,0.215,0.011
2008,US,,,2,201,0.216,0.002
2009,US,,,2,201,0.215,0.001
2010,US,,,2,201,0.215,0.001
