year,geog,fips,statecd,theme_id,indic_id,Num_RentBelow50Pct_Inc,Num_RentBelow60Pct_Inc
2000,Alexandria,51510,51,2,203,10374,18218
2001,Alexandria,51510,51,2,203,3984,14341
2002,Alexandria,51510,51,2,203,3317,13791
2003,Alexandria,51510,51,2,203,3041,12219
2004,Alexandria,51510,51,2,203,2172,11984
2005,Alexandria,51510,51,2,203,1135,10127
2006,Alexandria,51510,51,2,203,973,9841
2007,Alexandria,51510,51,2,203,883,7889
2008,Alexandria,51510,51,2,203,2313,8123
2009,Alexandria,51510,51,2,203,1895,9598
2010,Alexandria,51510,51,2,203,2929,12167
2011,Alexandria,51510,51,2,203,4543,6416
