year,geog,fips,statecd,theme_id,indic_id,Median_GrossRent,MOE_GrossRent
2000,Alexandria,51510,51,2,204,861,
2005,Alexandria,51510,51,2,204,1111,34
2006,Alexandria,51510,51,2,204,1213,46
2007,Alexandria,51510,51,2,204,1233,46
2008,Alexandria,51510,51,2,204,1299,49
2009,Alexandria,51510,51,2,204,1345,45
2010,Alexandria,51510,51,2,204,1373,39
2000,Arlington,51013,51,2,204,897,
2005,Arlington,51013,51,2,204,1261,42
2006,Arlington,51013,51,2,204,1261,52
2007,Arlington,51013,51,2,204,1436,52
2008,Arlington,51013,51,2,204,1462,55
2009,Arlington,51013,51,2,204,1591,58
2010,Arlington,51013,51,2,204,1598,56
2000,Fairfax,51059,51,2,204,998,
2005,Fairfax,51059,51,2,204,1237,26
2006,Fairfax,51059,51,2,204,1355,27
2007,Fairfax,51059,51,2,204,1430,35
2008,Fairfax,51059,51,2,204,1529,47
2009,Fairfax,51059,51,2,204,1544,41
2010,Fairfax,51059,51,2,204,1504,34
2000,US,,,2,204,602,
2005,US,,,2,204,728,2
2006,US,,,2,204,763,2
2007,US,,,2,204,789,2
2008,US,,,2,204,824,2
2009,US,,,2,204,842,2
2010,US,,,2,204,855,2
2000,Virginia,,51,2,204,650,
2005,Virginia,,51,2,204,812,8
2006,Virginia,,51,2,204,846,10
2007,Virginia,,51,2,204,892,9
2008,Virginia,,51,2,204,934,12
2009,Virginia,,51,2,204,989,9
2010,Virginia,,51,2,204,1019,11
