year,geog,fips,statecd,theme_id,indic_id,Denom_Students,Num_Free_Lunch_Elig,Num_RedPrice_Lunch_Elig,Num_FRP_Lunch_Elig,Pct_FRP_Lunch_Elig
2002,Alexandria,51510,51,2,207,10975,4441,1200,5641,51.39863326
2003,Alexandria,51510,51,2,207,10765,4345,1165,5510,51.18439387
2004,Alexandria,51510,51,2,207,10610,4394,1148,5542,52.23374175
2005,Alexandria,51510,51,2,207,10317,4043,1194,5237,50.7608801
2006,Alexandria,51510,51,2,207,10026,3806,1180,4986,49.73070018
2007,Alexandria,51510,51,2,207,10295,4040,1247,5287,51.35502671
2008,Alexandria,51510,51,2,207,11010,4483,1389,5872,53.33333333
2009,Alexandria,51510,51,2,207,11501,4949,1316,6265,54.47352404
2010,Alexandria,51510,51,2,207,12227,5274,1232,6506,53.21010878
2002,Virginia,,51,2,207,1139471,279498,82979,362477,31.81098949
2003,Virginia,,51,2,207,1147685,290408,84029,374437,32.62541551
2004,Virginia,,51,2,207,1157661,304870,82684,387554,33.47733058
2005,Virginia,,51,2,207,1171410,303798,84049,387847,33.10941515
2006,Virginia,,51,2,207,1179116,306635,88225,394860,33.48779933
2007,Virginia,,51,2,207,1198532,311456,86062,397518,33.16707439
2008,Virginia,,51,2,207,1222876,367959,86351,454310,37.1509458
2009,Virginia,,51,2,207,1222876,367959,86351,454310,37.1509458
2010,Virginia,,51,2,207,1227670,394292,74918,469210,38.21955411
