year,geog,fips,statecd,theme_id,indic_id,Rate_Infant_Mortality
2009,Alexandria,51510,51,4,412,6.6
2008,Alexandria,51510,51,4,412,3.9
2007,Alexandria,51510,51,4,412,5.1
2006,Alexandria,51510,51,4,412,4.5
2005,Alexandria,51510,51,4,412,4.5
2004,Alexandria,51510,51,4,412,3.8
2003,Alexandria,51510,51,4,412,7.3
2002,Alexandria,51510,51,4,412,3.6
2001,Alexandria,51510,51,4,412,5.8
2000,Alexandria,51510,51,4,412,4.9
2009,Virginia,,51,4,412,7
2008,Virginia,,51,4,412,6.7
2007,Virginia,,51,4,412,7.7
2006,Virginia,,51,4,412,7.1
2005,Virginia,,51,4,412,7.4
2004,Virginia,,51,4,412,7.4
2003,Virginia,,51,4,412,7.6
2002,Virginia,,51,4,412,7.3
2001,Virginia,,51,4,412,7.4
2000,Virginia,,51,4,412,6.8
