year,geog,fips,statecd,theme_id,indic_id,num_teenpreg,denom_teenpreg,rate_teenpreg_1000
2000,Alexandria,51510,51,4,413,260,4606,56.44811116
2001,Alexandria,51510,51,4,413,283,4606,61.44159792
2002,Alexandria,51510,51,4,413,235,4231,55.54242496
2003,Alexandria,51510,51,4,413,249,3935,63.27827192
2004,Alexandria,51510,51,4,413,177,4061,43.58532381
2005,Alexandria,51510,51,4,413,251,4282,58.61746847
2006,Alexandria,51510,51,4,413,204,4244,48.06786051
2007,Alexandria,51510,51,4,413,214,4924,43.46060114
2008,Alexandria,51510,51,4,413,224,5183,43.21821339
2009,Alexandria,51510,51,4,413,206,4357,47.2802387
2000,Virginia,,51,4,413,15067,478240,31.50510204
2001,Virginia,,51,4,413,14218,478240,29.72984276
2002,Virginia,,51,4,413,13586,492384,27.5922857
2003,Virginia,,51,4,413,13665,499398,27.36294499
2004,Virginia,,51,4,413,13343,503412,26.505129
2005,Virginia,,51,4,413,13416,506205,26.50309657
2006,Virginia,,51,4,413,13704,502344,27.28011084
2007,Virginia,,51,4,413,13766,505848,27.21370847
2008,Virginia,,51,4,413,13233,503210,26.29717215
2009,Virginia,,51,4,413,12283,505976,24.27585498
