year,geog,fips,statecd,theme_id,indic_id,pct_deferred_care
2000,Alexandria,51510,51,4,403,11.4398406
2003,Alexandria,51510,51,4,403,11.09665052
2004,Alexandria,51510,51,4,403,10.24526138
2005,Alexandria,51510,51,4,403,5.531690523
2006,Alexandria,51510,51,4,403,12.65288689
2007,Alexandria,51510,51,4,403,13.08007819
2008,Alexandria,51510,51,4,403,5.881109901
2009,Alexandria,51510,51,4,403,21.11580727
2010,Alexandria,51510,51,4,403,21.33550289
2000,Arlington,51013,51,4,403,5.703807935
2003,Arlington,51013,51,4,403,10.49153954
2004,Arlington,51013,51,4,403,6.328920936
2005,Arlington,51013,51,4,403,5.776286148
2006,Arlington,51013,51,4,403,7.415117364
2007,Arlington,51013,51,4,403,8.042221464
2008,Arlington,51013,51,4,403,8.092312981
2009,Arlington,51013,51,4,403,8.052798779
2010,Arlington,51013,51,4,403,9.036022157
2000,Fairfax,51059,51,4,403,7.571594062
2003,Fairfax,51059,51,4,403,3.82913721
2004,Fairfax,51059,51,4,403,11.27077987
2005,Fairfax,51059,51,4,403,7.399740182
2006,Fairfax,51059,51,4,403,9.040636689
2007,Fairfax,51059,51,4,403,5.314898565
2008,Fairfax,51059,51,4,403,10.78550344
2009,Fairfax,51059,51,4,403,10.47801381
2010,Fairfax,51059,51,4,403,9.02038279
