year,geog,fips,statecd,theme_id,indic_id,num_flushot,pct_flushot,num_fluspray,pct_fluspray
2000,Alexandria,51510,51,4,407,57805,0.480614934,,
2001,Alexandria,51510,51,4,407,14553,0.397015495,,
2002,Alexandria,51510,51,4,407,62978,0.470090319,,
2003,Alexandria,51510,51,4,407,44946,0.395237383,,
2004,Alexandria,51510,51,4,407,29966,0.336115037,,
2005,Alexandria,51510,51,4,407,24401,0.374231247,,
2006,Alexandria,51510,51,4,407,21903,0.29014439,,
2007,Alexandria,51510,51,4,407,41954,0.474051141,5412,0.061
2008,Alexandria,51510,51,4,407,20025,0.3283,,
2009,Alexandria,51510,51,4,407,35984,0.481397744,340,0.005
2010,Alexandria,51510,51,4,407,42367,0.527819305,4302,0.054
2000,Arlington,51013,51,4,407,75740,0.544,,
2001,Arlington,51013,51,4,407,10198,0.329,,
2002,Arlington,51013,51,4,407,53348,0.344,,
2003,Arlington,51013,51,4,407,73072,0.533,,
2004,Arlington,51013,51,4,407,37821,0.341,2259,0.02
2005,Arlington,51013,51,4,407,23272,0.215,1916,0.018
2006,Arlington,51013,51,4,407,30717,0.249,1302,0.011
2007,Arlington,51013,51,4,407,59862,0.474,691,0.005
2008,Arlington,51013,51,4,407,60521,0.548,,
2009,Arlington,51013,51,4,407,60861,0.528,3186,0.028
2010,Arlington,51013,51,4,407,70908,0.467,4078,0.027
2000,Fairfax,51059,51,4,407,75740,0.544,201626,0.344
2001,Fairfax,51059,51,4,407,10198,0.329,51268,0.227
2002,Fairfax,51059,51,4,407,53348,0.344,210187,0.363
2003,Fairfax,51059,51,4,407,73072,0.533,232549,0.426
2004,Fairfax,51059,51,4,407,37821,0.341,256301,0.383
2005,Fairfax,51059,51,4,407,23272,0.215,156268,0.274
2006,Fairfax,51059,51,4,407,30717,0.249,297021,0.434
2007,Fairfax,51059,51,4,407,59862,0.474,381373,0.483
2008,Fairfax,51059,51,4,407,60521,0.548,320655,0.381
2009,Fairfax,51059,51,4,407,60861,0.528,300317,0.439
2010,Fairfax,51059,51,4,407,70908,0.467,535038,0.552
