year,geog,fips,statecd,theme_id,indic_id,num_bmi_under,pct_bmi_under,num_bmi_healthy,pct_bmi_healthy,num_bmi_over,pct_bmi_over,num_bmi_obese,pct_bmi_obese,denom_bmi,num_bmi_over_obese,pct_bmi_over_obese
2000,Alexandria,51510,51,4,408,2498,0.027853973,37584,0.419080752,35932,0.40066011,13668,0.152405165,89682,49600,0.553065275
2001,Alexandria,51510,51,4,408,,,62091,0.551748345,31075,0.276136313,19369,0.172115342,112535,50444,0.448251655
2002,Alexandria,51510,51,4,408,1992,0.015743675,69896,0.552419642,36733,0.290317482,17906,0.141519201,126527,54639,0.431836683
2003,Alexandria,51510,51,4,408,,,51546,0.468655387,37147,0.337739915,21294,0.193604699,109987,58441,0.531344613
2004,Alexandria,51510,51,4,408,1648,0.018603811,43138,0.486972817,28093,0.31713402,15705,0.177289352,88584,43798,0.494423372
2005,Alexandria,51510,51,4,408,2244,0.036415566,28649,0.464915128,18643,0.302538055,12086,0.196131252,61622,30729,0.498669306
2006,Alexandria,51510,51,4,408,476,0.006302465,40433,0.535352064,24025,0.318102375,10592,0.140243095,75526,34617,0.45834547
2007,Alexandria,51510,51,4,408,2831,0.034353461,42492,0.515629551,23188,0.281380449,13897,0.16863654,82408,37085,0.450016989
2008,Alexandria,51510,51,4,408,,,24124,0.392139014,26723,0.434386125,10672,0.173474861,61519,37395,0.607860986
2009,Alexandria,51510,51,4,408,222,0.003041679,40584,0.556051846,21650,0.296632231,10530,0.144274244,72986,32180,0.440906475
2010,Alexandria,51510,51,4,408,3411,0.042806586,26907,0.337671302,42474,0.53303047,6892,0.086491642,79684,49366,0.619522112
2000,Arlington,51013,51,4,408,15245,0.09664087,92005,0.583236661,41251,0.261497696,9248,0.058624777,157749,50499,0.320122473
2001,Arlington,51013,51,4,408,4414,0.03932679,57311,0.51061574,37519,0.334277747,12995,0.11577972,112239,50514,0.450057467
2002,Arlington,51013,51,4,408,2755,0.01798221,97043,0.633411006,41183,0.268806256,12226,0.079800531,153207,53409,0.348606787
2003,Arlington,51013,51,4,408,726,0.00530516,74307,0.542989302,49250,0.359888343,12565,0.091817199,136848,61815,0.451705542
2004,Arlington,51013,51,4,408,955,0.00861595,46536,0.419844642,43170,0.389476818,20180,0.182062594,110841,63350,0.571539412
2005,Arlington,51013,51,4,408,2354,0.02194954,41005,0.382345262,51275,0.47810641,12612,0.117598792,107246,63887,0.595705201
2006,Arlington,51013,51,4,408,2657,0.02156918,50080,0.406543004,28277,0.229549052,42171,0.342338759,123185,70448,0.571887811
2007,Arlington,51013,51,4,408,96,0.00076841,68169,0.545640098,36286,0.290441353,20383,0.163150143,124934,56669,0.453591496
2008,Arlington,51013,51,4,408,4019,0.03766883,54980,0.515310283,32191,0.301716139,15503,0.145304753,106693,47694,0.447020892
2009,Arlington,51013,51,4,408,2504,0.02084704,70595,0.587738213,33576,0.27953677,13438,0.111877982,120113,47014,0.391414751
2010,Arlington,51013,51,4,408,4344,0.0319548,74608,0.548822292,35143,0.258514661,21847,0.160708243,135942,56990,0.419222904
2000,Fairfax,51059,51,4,408,7770,0.01383045,308027,0.548281963,183339,0.326339791,62668,0.1115478,561804,246007,0.437887591
2001,Fairfax,51059,51,4,408,7839,0.01245886,285598,0.453913041,260375,0.413825055,75379,0.119803049,629191,335754,0.533628103
2002,Fairfax,51059,51,4,408,5905,0.01036383,230407,0.40438598,176034,0.308956246,157424,0.276293943,569770,333458,0.585250189
2003,Fairfax,51059,51,4,408,20609,0.03861272,300044,0.562158071,176679,0.331023202,36404,0.068206004,533736,213083,0.399229207
2004,Fairfax,51059,51,4,408,9487,0.01465676,276498,0.427170397,225146,0.347835088,136147,0.210337753,647278,361293,0.558172841
2005,Fairfax,51059,51,4,408,,,251643,0.462246804,215485,0.395827631,77263,0.141925565,544391,292748,0.537753196
2006,Fairfax,51059,51,4,408,23865,0.03371568,289506,0.409004409,283782,0.400917733,110678,0.156362182,707831,394460,0.557279916
2007,Fairfax,51059,51,4,408,2430,0.00311874,296132,0.380064736,361570,0.464049838,119030,0.15276669,779162,480600,0.616816529
2008,Fairfax,51059,51,4,408,11245,0.01434192,349257,0.445443936,253556,0.323386454,170007,0.216827686,784065,423563,0.54021414
2009,Fairfax,51059,51,4,408,,,315347,0.469427735,221240,0.329339401,135182,0.201232864,671769,356422,0.530572265
2010,Fairfax,51059,51,4,408,10384,0.01076523,519291,0.538355794,314814,0.326371805,120098,0.124507172,964587,434912,0.450878977
