year,geog,fips,statecd,theme_id,indic_id,num_homicide,num_rape,num_robbery,num_agg_assault,num_burglary,num_larceny,num_autotheft,num_violent_crime,num_property_crime,num_violent_property_crime
2001,Alexandria,51510,51,6,603,3,28,171,187,578,4963,778,389,6319,6708
2002,Alexandria,51510,51,6,603,2,20,200,186,486,4220,794,408,5500,5908
2003,Alexandria,51510,51,6,603,4,26,179,192,497,3754,640,401,4891,5292
2004,Alexandria,51510,51,6,603,2,31,187,213,426,2937,635,433,3998,4431
2005,Alexandria,51510,51,6,603,4,23,197,201,371,2699,513,425,3583,4008
2006,Alexandria,51510,51,6,603,5,26,202,210,388,2538,376,443,3302,3745
2007,Alexandria,51510,51,6,603,8,18,162,183,365,2663,375,371,3403,3774
2008,Alexandria,51510,51,6,603,4,35,157,154,314,2813,376,350,3503,3853
2009,Alexandria,51510,51,6,603,5,15,143,115,325,2755,344,278,3424,3702
2010,Alexandria,51510,51,6,603,3,20,125,125,310,2805,282,273,3397,3670
2011,Alexandria,51510,51,6,603,1,21,130,112,308,2666,374,264,3348,3612
