year,geog,fips,statecd,theme_id,indic_id,num_vandalism,num_prostitution,num_drug_offenses,num_gambling,num_disorderly_conduct,num_dui,num_drunkenness,num_liquorlaw,num_total_nuisance_crimes
2001,Alexandria,51510,51,6,604,2719,9,400,6,176,356,989,760,5415
2002,Alexandria,51510,51,6,604,2314,13,376,3,147,370,1032,609,4864
2003,Alexandria,51510,51,6,604,2029,4,542,5,162,488,1093,696,5019
2004,Alexandria,51510,51,6,604,1657,5,451,7,149,391,951,680,4291
2005,Alexandria,51510,51,6,604,1397,19,453,5,150,435,890,604,3953
2006,Alexandria,51510,51,6,604,1536,14,527,8,165,479,866,549,4144
2007,Alexandria,51510,51,6,604,1774,21,494,15,207,574,960,563,4608
2008,Alexandria,51510,51,6,604,1893,22,450,13,191,506,982,550,4607
2009,Alexandria,51510,51,6,604,1646,29,469,8,192,463,740,566,4113
2010,Alexandria,51510,51,6,604,1402,12,474,6,155,327,581,462,3419
2011,Alexandria,51510,51,6,604,1287,29,620,1,120,360,405,390,3212
