year,geog,fips,statecd,theme_id,indic_id,median_hh_income,moe_median_hh_income,pct_pop_workforce,moe_pop_workforce,pct_poverty,moe_poverty,pct_nclb_disad_grad,pct_nclb_lep_grad,pct_nclb_hisp_grad,pct_nclb_white_grad,pct_nclb_black_grad,pct_nclb_swd_grad,pct_nclb_all_grad,pct_fed_disad_grad,pct_fed_lep_grad,pct_fed_hisp_grad,vpct_fed_white_grad,pct_fed_black_grad,pct_fed_swd_grad,pct_fed_all_grad,num_laborforce,num_employed,num_unemployed,rate_unemployment,pct_hsdiploma_ged,moe_hsdiploma_ged,pct_retail_vacancy_low145,pct_retail_vacancy_mid156,pct_retail_vacancy_up39,pct_retail_vacancy_total
2000,US,,,11,1103,41994,,0.639232694,,0.124,,,,,,,,,,,,,,,,,,,,,,,,,
2001,US,,,11,1105,,,,,,,,,,,,,,,,,,,,,143734000,136933000,6801000,0.047316571,,,,,,
2002,US,,,11,1105,,,,,,,,,,,,,,,,,,,,,144863000,136485000,8378000,0.057833953,,,,,,
2003,US,,,11,1105,,,,,,,,,,,,,,,,,,,,,146510000,137736000,8774000,0.059886697,,,,,,
2004,US,,,11,1105,,,,,,,,,,,,,,,,,,,,,147401000,139252000,8149000,0.055284564,,,,,,
2005,US,,,11,1105,46242,104,0.658984514,0.001,0.133,0.001,,,,,,,,,,,,,,,149320000,141730000,7591000,0.050837128,,,,,,
2006,US,,,11,1105,48451,82,0.649720966,0.001,0.133,0.001,,,,,,,,,,,,,,,151428000,144427000,7001000,0.046233193,,,,,,
2007,US,,,11,1105,50740,75,0.648061863,0.001,0.13,0.001,,,,,,,,,,,,,,,153124000,146047000,7078000,0.046223975,,,,,,
2008,US,,,11,1105,52029,73,0.659499811,0.001,0.132,0.001,,,,,,,,,,,,,,,154287000,145362000,8924000,0.057840259,,,,,,
2009,US,,,11,1105,50221,74,0.652836337,0.001,0.143,0.001,,,,,,,,,,,,,,,154142000,139877000,14265000,0.092544537,,,,,,
2010,US,,,11,1105,50046,64,0.643747231,0.001,0.153,0.001,,,,,,,,,,,,,,,153889000,139064000,14825000,0.096335671,,,,,,
2000,Virginia,,51,11,1103,46677,,0.668115075,,0.096,,,,,,,,,,,,,,,,,,,,,,,,,
