year,geog,fips,statecd,theme_id,indic_id,Pct_MedianOwnerCosts_Income,MOE_MedianOwnerCosts_Income,Num_Homeless,Num_RentBelow50Pct_Inc,Num_RentBelow60Pct_Inc,Median_GrossRent,MOE_GrossRent,Denom_Students,Num_Free_Lunch_Elig,Num_RedPrice_Lunch_Elig,Num_FRP_Lunch_Elig,Pct_FRP_Lunch_Elig
2000,US,,,2,204,0.187,,,,,602,,,,,,
2005,US,,,2,204,0.209,0.002,,,,728,2,,,,,
2006,US,,,2,204,0.216,0.002,,,,763,2,,,,,
2007,US,,,2,204,0.215,0.011,,,,789,2,,,,,
2008,US,,,2,204,0.216,0.002,,,,824,2,,,,,
2009,US,,,2,204,0.215,0.001,,,,842,2,,,,,
2010,US,,,2,204,0.215,0.001,,,,855,2,,,,,
2000,Virginia,,51,2,204,0.189,,,,,650,,,,,,
2002,Virginia,,51,2,207,,,,,,,,1139471,279498,82979,362477,31.81098949
2003,Virginia,,51,2,207,,,,,,,,1147685,290408,84029,374437,32.62541551
2004,Virginia,,51,2,207,,,,,,,,1157661,304870,82684,387554,33.47733058
2005,Virginia,,51,2,207,0.205,0.002,,,,812,8,1171410,303798,84049,387847,33.10941515
2006,Virginia,,51,2,207,0.211,0.002,,,,846,10,1179116,306635,88225,394860,33.48779933
2007,Virginia,,51,2,207,0.215,0.002,,,,892,9,1198532,311456,86062,397518,33.16707439
2008,Virginia,,51,2,207,0.215,0.002,,,,934,12,1222876,367959,86351,454310,37.1509458
2009,Virginia,,51,2,207,0.217,0.002,,,,989,9,1222876,367959,86351,454310,37.1509458
2010,Virginia,,51,2,207,0.213,0.002,,,,1019,11,1227670,394292,74918,469210,38.21955411
2007,District of Columbia,11001,11,2,202,,,5757,,,,,,,,,
2008,District of Columbia,11001,11,2,202,,,6044,,,,,,,,,
2009,District of Columbia,11001,11,2,202,,,6228,,,,,,,,,
2010,District of Columbia,11001,11,2,202,,,6539,,,,,,,,,
2011,District of Columbia,11001,11,2,202,,,6546,,,,,,,,,
2007,Frederick,24021,24,2,202,,,223,,,,,,,,,
2008,Frederick,24021,24,2,202,,,302,,,,,,,,,
2009,Frederick,24021,24,2,202,,,324,,,,,,,,,
2010,Frederick,24021,24,2,202,,,303,,,,,,,,,
2011,Frederick,24021,24,2,202,,,280,,,,,,,,,
2007,Montgomery,24031,24,2,202,,,1139,,,,,,,,,
2008,Montgomery,24031,24,2,202,,,1104,,,,,,,,,
2009,Montgomery,24031,24,2,202,,,1194,,,,,,,,,
2010,Montgomery,24031,24,2,202,,,1064,,,,,,,,,
2011,Montgomery,24031,24,2,202,,,1132,,,,,,,,,
2007,Prince George's,24033,24,2,202,,,1168,,,,,,,,,
2008,Prince George's,24033,24,2,202,,,943,,,,,,,,,
2009,Prince George's,24033,24,2,202,,,853,,,,,,,,,
2010,Prince George's,24033,24,2,202,,,789,,,,,,,,,
2011,Prince George's,24033,24,2,202,,,773,,,,,,,,,
2000,Arlington,51013,51,2,204,0.176,,,,,897,,,,,,
2005,Arlington,51013,51,2,204,0.22,0.014,,,,1261,42,,,,,
2006,Arlington,51013,51,2,204,0.212,0.011,,,,1261,52,,,,,
2007,Arlington,51013,51,2,204,0.214,0.011,462,,,1436,52,,,,,
2008,Arlington,51013,51,2,204,0.22,0.012,410,,,1462,55,,,,,
2009,Arlington,51013,51,2,204,0.22,0.011,511,,,1591,58,,,,,
2010,Arlington,51013,51,2,204,0.216,0.01,531,,,1598,56,,,,,
2011,Arlington,51013,51,2,202,,,461,,,,,,,,,
2000,Fairfax,51059,51,2,204,0.192,,,,,998,,,,,,
2005,Fairfax,51059,51,2,204,0.219,0.005,,,,1237,26,,,,,
2006,Fairfax,51059,51,2,204,0.223,0.005,,,,1355,27,,,,,
