year,geog,fips,statecd,theme_id,indic_id,pct_adults_w_healthcare,num_schip_partic,pct_deferred_care,num_prenatal_1st_tri,denom_prenatal_1st_tri,pct_prenatal_1st_tri,num_hiv_diag,rate_hiv_diag,num_adult_good_health,pct_adult_good_health,num_adult_vgood_health,pct_adult_vgood_health,num_adult_exc_health,pct_adult_exc_health,num_adult_goodexc_health,pct_adult_goodexc_health,num_flushot,pct_flushot,num_fluspray,pct_fluspray,num_bmi_under,pct_bmi_under,num_bmi_healthy,pct_bmi_healthy,num_bmi_over,pct_bmi_over,num_bmi_obese,pct_bmi_obese,denom_bmi,num_bmi_over_obese,pct_bmi_over_obese,Rate_HeartDis_Mortality,year_range_start,year_range_end,Rate_Cancer_Mortality,Rate_Infant_Mortality,num_teenpreg,denom_teenpreg,rate_teenpreg_1000
2000,Planning District 8,,,4,404,,,,25020,29882,83.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Planning District 8,,,4,404,,,,25463,30604,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Planning District 8,,,4,404,,,,25411,30831,82.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Planning District 8,,,4,404,,,,25843,31333,82.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Planning District 8,,,4,404,,,,26961,32942,81.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Planning District 8,,,4,404,,,,26855,33373,80.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Planning District 8,,,4,404,,,,26184,33324,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Planning District 8,,,4,404,,,,26646,33941,78.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Planning District 8,,,4,404,,,,27694,33839,81.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Planning District 8,,,4,404,,,,26659,33972,78.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Virginia,,51,4,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,2003,202.5,,,,
2000,Virginia,,51,4,413,,,,83633,98864,84.59,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2004,196.4,6.8,15067,478240,31.50510204
2001,Virginia,,51,4,413,,,,83619,98531,84.87,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,2005,192.5,7.4,14218,478240,29.72984276
2002,Virginia,,51,4,413,,,,84085,99235,84.73,,,,,,,,,,,,,,,,,,,,,,,,,,225.8,2002,2006,189.3,7.3,13586,492384,27.5922857
2003,Virginia,,51,4,413,,,,85259,100561,84.78,,,,,,,,,,,,,,,,,,,,,,,,,,217.1,2003,2007,186,7.6,13665,499398,27.36294499
2004,Virginia,,51,4,413,,,,88054,103830,84.81,,,,,,,,,,,,,,,,,,,,,,,,,,200.5,,,,7.4,13343,503412,26.505129
2005,Virginia,,51,4,413,,,,88409,104488,84.61,,,,,,,,,,,,,,,,,,,,,,,,,,197.2,,,,7.4,13416,506205,26.50309657
2006,Virginia,,51,4,413,,,,88867,106474,83.46,1016,13.3,,,,,,,,,,,,,,,,,,,,,,,,189.6,,,,7.1,13704,502344,27.28011084
2007,Virginia,,51,4,413,,,,90225,108417,83.22,1036,13.4,,,,,,,,,,,,,,,,,,,,,,,,182.8,,,,7.7,13766,505848,27.21370847
2008,Virginia,,51,4,413,,,,90150,106578,84.59,1081,13.9,,,,,,,,,,,,,,,,,,,,,,,,176.5,,,,6.7,13233,503210,26.29717215
2009,Virginia,,51,4,413,,,,86890,104979,82.77,957,12.1,,,,,,,,,,,,,,,,,,,,,,,,170.8,,,,7,12283,505976,24.27585498
2010,Virginia,,51,4,410,,,,,,,994,12.4,,,,,,,,,,,,,,,,,,,,,,,,167.6,,,,,,,
2000,Arlington,51013,51,4,408,0.985,,5.703807935,,,,,,41061,0.25565497,54597,0.33993313,50780,0.31616763,146438,0.9118,75740,0.544,,,15245,0.09664087,92005,0.583236661,41251,0.261497696,9248,0.058624777,157749,50499,0.320122473,,,,,,,,
2001,Arlington,51013,51,4,408,0.888,,,,,,,,22585,0.18535693,49275,0.40440392,41202,0.33814815,113062,0.9279,10198,0.329,,,4414,0.03932679,57311,0.51061574,37519,0.334277747,12995,0.11577972,112239,50514,0.450057467,,,,,,,,
2002,Arlington,51013,51,4,408,0.91,,,,,,,,17197,0.10891208,54285,0.34379789,73905,0.46805533,145387,0.9208,53348,0.344,,,2755,0.01798221,97043,0.633411006,41183,0.268806256,12226,0.079800531,153207,53409,0.348606787,,,,,,,,
2003,Arlington,51013,51,4,408,0.926,,10.49153954,,,,,,43299,0.31097561,39363,0.28270706,47074,0.33808785,129736,0.9318,73072,0.533,,,726,0.00530516,74307,0.542989302,49250,0.359888343,12565,0.091817199,136848,61815,0.451705542,,,,,,,,
2004,Arlington,51013,51,4,408,0.862,,6.328920936,,,,,,29058,0.26059818,28342,0.25417694,44394,0.39813461,101794,0.9129,37821,0.341,2259,0.02,955,0.00861595,46536,0.419844642,43170,0.389476818,20180,0.182062594,110841,63350,0.571539412,,,,,,,,
2005,Arlington,51013,51,4,408,0.928,,5.776286148,,,,,,30526,0.28068853,36666,0.33714622,33256,0.30579105,100448,0.9236,23272,0.215,1916,0.018,2354,0.02194954,41005,0.382345262,51275,0.47810641,12612,0.117598792,107246,63887,0.595705201,,,,,,,,
2006,Arlington,51013,51,4,408,0.926,,7.415117364,,,,,,51023,0.40695013,36274,0.2893148,29427,0.23470438,116724,0.931,30717,0.249,1302,0.011,2657,0.02156918,50080,0.406543004,28277,0.229549052,42171,0.342338759,123185,70448,0.571887811,,,,,,,,
2007,Arlington,51013,51,4,408,0.864,,8.042221464,,,,,,27088,0.21455332,55087,0.43632231,34978,0.27704688,117153,0.9279,59862,0.474,691,0.005,96,0.00076841,68169,0.545640098,36286,0.290441353,20383,0.163150143,124934,56669,0.453591496,,,,,,,,
2008,Arlington,51013,51,4,408,0.905,,8.092312981,,,,,,25150,0.22752357,38112,0.34478641,33715,0.30500823,96977,0.8773,60521,0.548,,,4019,0.03766883,54980,0.515310283,32191,0.301716139,15503,0.145304753,106693,47694,0.447020892,,,,,,,,
2009,Arlington,51013,51,4,408,0.934,,8.052798779,,,,,,15558,0.12845006,44158,0.36457757,52360,0.43229498,112076,0.9253,60861,0.528,3186,0.028,2504,0.02084704,70595,0.587738213,33576,0.27953677,13438,0.111877982,120113,47014,0.391414751,,,,,,,,
2010,Arlington,51013,51,4,408,0.953,,9.036022157,,,,,,60500,0.39541191,42771,0.27953988,35399,0.23135845,138670,0.9063,70908,0.467,4078,0.027,4344,0.0319548,74608,0.548822292,35143,0.258514661,21847,0.160708243,135942,56990,0.419222904,,,,,,,,
2000,Fairfax,51059,51,4,408,0.879,,7.571594062,,,,,,144996,0.24414047,228620,0.38494437,189504,0.31908187,563120,0.9482,75740,0.544,201626,0.344,7770,0.01383045,308027,0.548281963,183339,0.326339791,62668,0.1115478,561804,246007,0.437887591,,,,,,,,
2001,Fairfax,51059,51,4,408,0.902,,,,,,,,108477,0.16686998,269111,0.41397298,224476,0.34531104,602064,0.9262,10198,0.329,51268,0.227,7839,0.01245886,285598,0.453913041,260375,0.413825055,75379,0.119803049,629191,335754,0.533628103,,,,,,,,
2002,Fairfax,51059,51,4,408,0.979,,,,,,,,105590,0.18223144,294920,0.50898472,129929,0.22423666,530439,0.9155,53348,0.344,210187,0.363,5905,0.01036383,230407,0.40438598,176034,0.308956246,157424,0.276293943,569770,333458,0.585250189,,,,,,,,
