year,geog,fips,statecd,theme_id,indic_id,pct_walked_work,moe_walked_work,pct_biked_work,moe_biked_work,pct_tree_canopy,num_miles_sharedusepaths,pct_publictransit_work,moe_publictransit_work
2005,Washington Metro,,,5,506,2.5,0.1,0.4,0.1,,,0.132018756,
2006,Washington Metro,,,5,506,2.9,0.1,0.5,0.1,,,0.141749984,
2007,Washington Metro,,,5,506,2.8,0.1,0.5,0.1,,,0.133353143,0.4
2008,Washington Metro,,,5,506,2.8,0.1,0.5,0.1,,,0.13433819,0.4
2009,Washington Metro,,,5,506,2.9,0.1,0.6,0.1,,,0.141450526,0.4
2010,Washington Metro,,,5,506,2.8,0.1,0.5,0.1,,,0.13981118,0.4
2005,Virginia,,51,5,506,1.7,0.1,0.2,0.1,,,0.036800537,
2006,Virginia,,51,5,506,2.3,0.1,0.2,0.1,,,0.04089287,0.001889297
2007,Virginia,,51,5,506,2.2,0.1,0.3,0.1,,,0.037695146,0.2
2008,Virginia,,51,5,506,2.3,0.2,0.4,0.1,,,0.042861944,0.3
2009,Virginia,,51,5,506,2.2,0.2,0.3,0.1,,,0.044041746,0.2
2010,Virginia,,51,5,506,2.7,0.2,0.3,0.1,,,0.043830055,0.2
2005,District of Columbia,11001,11,5,501,2.6,0.2,0.4,0.1,,,,
2006,District of Columbia,11001,11,5,501,3,0.2,0.4,0.1,,,,
2007,District of Columbia,11001,11,5,501,3,0.2,0.4,0.1,,,,
2008,District of Columbia,11001,11,5,501,3.1,0.2,0.6,0.1,,,,
2009,District of Columbia,11001,11,5,501,3.2,0.2,0.6,0.1,,,,
2010,District of Columbia,11001,11,5,501,3.5,0.4,0.5,0.1,,,,
2005,Arlington,51013,51,5,501,4.2,1,1,0.6,,,,
2006,Arlington,51013,51,5,501,5,1.2,0.6,0.3,,,,
2007,Arlington,51013,51,5,501,5.4,1.2,1,0.5,,,,
2008,Arlington,51013,51,5,501,6.3,2.1,1.1,0.4,,,,
2009,Arlington,51013,51,5,501,4.9,1.2,0.9,0.4,,,,
2010,Arlington,51013,51,5,501,4.6,0.9,1.4,0.4,,,,
2005,Fairfax,51059,51,5,501,1.8,0.4,0.2,0.1,,,,
2006,Fairfax,51059,51,5,501,1.9,0.3,0.2,0.1,,,,
2007,Fairfax,51059,51,5,501,1.7,0.4,0.2,0.1,,,,
2008,Fairfax,51059,51,5,501,1.8,0.4,0.2,0.1,,,,
2009,Fairfax,51059,51,5,501,1.8,0.4,0.2,0.1,,,,
2010,Fairfax,51059,51,5,501,2.3,0.6,0.3,0.1,,,,
2000,Alexandria,51510,51,5,504,,,,,,38,,
2005,Alexandria,51510,51,5,506,3.3,1,0.5,0.4,,,0.17906526,0.025599334
2006,Alexandria,51510,51,5,506,2,0.9,0.6,0.4,,,0.205480448,0.035603528
2007,Alexandria,51510,51,5,506,2,0.8,0.9,0.4,0.3,,0.229662232,0.027
2008,Alexandria,51510,51,5,506,2.7,1.1,0.8,0.5,,,0.224383009,0.028
2009,Alexandria,51510,51,5,506,3.9,1.6,1.3,0.6,,,0.207392011,0.027
2010,Alexandria,51510,51,5,506,4.6,1.2,0.7,0.5,0.34,,0.211177996,0.029
2012,Alexandria,51510,51,5,504,,,,,,61,,
