year,geog,fips,statecd,theme_id,indic_id,rate_child_abuse_cases,num_homicide,num_rape,num_robbery,num_agg_assault,num_burglary,num_larceny,num_autotheft,num_violent_crime,num_property_crime,num_violent_property_crime,num_vandalism,num_prostitution,num_drug_offenses,num_gambling,num_disorderly_conduct,num_dui,num_drunkenness,num_liquorlaw,num_total_nuisance_crimes,avg_response_time_fires
2001,Alexandria,51510,51,6,604,,3,28,171,187,578,4963,778,389,6319,6708,2719,9,400,6,176,356,989,760,5415,
2002,Alexandria,51510,51,6,604,,2,20,200,186,486,4220,794,408,5500,5908,2314,13,376,3,147,370,1032,609,4864,
2003,Alexandria,51510,51,6,604,,4,26,179,192,497,3754,640,401,4891,5292,2029,4,542,5,162,488,1093,696,5019,
2004,Alexandria,51510,51,6,604,,2,31,187,213,426,2937,635,433,3998,4431,1657,5,451,7,149,391,951,680,4291,
2005,Alexandria,51510,51,6,604,,4,23,197,201,371,2699,513,425,3583,4008,1397,19,453,5,150,435,890,604,3953,
2006,Alexandria,51510,51,6,604,,5,26,202,210,388,2538,376,443,3302,3745,1536,14,527,8,165,479,866,549,4144,
2007,Alexandria,51510,51,6,605,,8,18,162,183,365,2663,375,371,3403,3774,1774,21,494,15,207,574,960,563,4608,4
2008,Alexandria,51510,51,6,605,,4,35,157,154,314,2813,376,350,3503,3853,1893,22,450,13,191,506,982,550,4607,4.9
2009,Alexandria,51510,51,6,605,46,5,15,143,115,325,2755,344,278,3424,3702,1646,29,469,8,192,463,740,566,4113,5.8
2010,Alexandria,51510,51,6,605,46,3,20,125,125,310,2805,282,273,3397,3670,1402,12,474,6,155,327,581,462,3419,5.5
2011,Alexandria,51510,51,6,605,32,1,21,130,112,308,2666,374,264,3348,3612,1287,29,620,1,120,360,405,390,3212,6
