year,geog,fips,statecd,theme_id,indic_id,pct_adult_smokers,pct_youth_never_smoked_gr7,pct_youth_never_smoked_gr8,pct_youth_never_smoked_gr9,pct_youth_never_smoked_gr10,pct_youth_never_smoked_gr11,pct_youth_never_smoked_gr12,pct_youth_never_smoked_gr7_12,pct_used_alcohol_gr7,pct_used_alcohol_gr8,pct_used_alcohol_gr9,pct_used_alcohol_gr10,pct_used_alcohol_gr11,pct_used_alcohol_gr12,pct_used_alcohol_gr7_12
2000,Arlington,51013,51,8,801,0.299082877,,,,,,,,,,,,,,
2001,Arlington,51013,51,8,801,0.127594442,,,,,,,,,,,,,,
2002,Arlington,51013,51,8,801,0.118608215,,,,,,,,,,,,,,
2003,Arlington,51013,51,8,801,0.124170473,,,,,,,,,,,,,,
2004,Arlington,51013,51,8,801,0.132953679,,,,,,,,,,,,,,
2005,Arlington,51013,51,8,801,0.146072788,,,,,,,,,,,,,,
2006,Arlington,51013,51,8,801,0.098289739,,,,,,,,,,,,,,
2007,Arlington,51013,51,8,801,0.134523734,,,,,,,,,,,,,,
2008,Arlington,51013,51,8,801,0.073743047,,,,,,,,,,,,,,
2009,Arlington,51013,51,8,801,0.123023079,,,,,,,,,,,,,,
2010,Arlington,51013,51,8,801,0.115152749,,,,,,,,,,,,,,
2000,Fairfax,51059,51,8,801,0.147167017,,,,,,,,,,,,,,
2001,Fairfax,51059,51,8,801,0.15472558,,,,,,,,,,,,,,
2002,Fairfax,51059,51,8,801,0.248964496,,,,,,,,,,,,,,
2003,Fairfax,51059,51,8,801,0.106711487,,,,,,,,,,,,,,
2004,Fairfax,51059,51,8,801,0.115904746,,,,,,,,,,,,,,
2005,Fairfax,51059,51,8,801,0.177313075,,,,,,,,,,,,,,
2006,Fairfax,51059,51,8,801,0.100732588,,,,,,,,,,,,,,
2007,Fairfax,51059,51,8,801,0.095716639,,,,,,,,,,,,,,
2008,Fairfax,51059,51,8,801,0.095285365,,,,,,,,,,,,,,
2009,Fairfax,51059,51,8,801,0.143625288,,,,,,,,,,,,,,
2010,Fairfax,51059,51,8,801,0.14474134,,,,,,,,,,,,,,
2000,Alexandria,51510,51,8,801,0.193045779,,,,,,,,,,,,,,
2001,Alexandria,51510,51,8,801,0.139396339,,,,,,,,,,,,,,
2002,Alexandria,51510,51,8,801,0.129757876,,,,,,,,,,,,,,
2003,Alexandria,51510,51,8,801,0.254697984,,,,,,,,,,,,,,
2004,Alexandria,51510,51,8,801,0.229674219,,,,,,,,,,,,,,
2005,Alexandria,51510,51,8,801,0.154105702,,,,,,,,,,,,,,
2006,Alexandria,51510,51,8,801,0.216510519,,,,,,,,,,,,,,
2007,Alexandria,51510,51,8,803,0.122532335,0.82,0.74,0.73,0.64,0.6,0.49,0.67,15,14,29,30,32,40,26
2008,Alexandria,51510,51,8,801,0.03987386,,,,,,,,,,,,,,
2009,Alexandria,51510,51,8,801,0.059237392,,,,,,,,,,,,,,
2010,Alexandria,51510,51,8,803,0.074005652,0.86,0.76,0.76,0.64,0.63,0.55,0.73,9,15,19,25,27,43,20
